bytes,percentage,filenames,linenumbers
2080023344,94.54,/home/ashvith/Desktop/GLM.jl/src/linpred.jl,108
60000144,2.73,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,51
20000048,0.91,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,294
20000048,0.91,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,60
20000048,0.91,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,59
21680,0.0,/home/ashvith/Desktop/GLM.jl/src/linpred.jl,105
224,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,473
32,0.0,/home/ashvith/Desktop/GLM.jl/src/linpred.jl,107
0,0.0,/home/ashvith/Desktop/GLM.jl/src/linpred.jl,165
0,0.0,/home/ashvith/Desktop/GLM.jl/src/linpred.jl,164
0,0.0,/home/ashvith/Desktop/GLM.jl/src/linpred.jl,163
0,0.0,/home/ashvith/Desktop/GLM.jl/src/linpred.jl,162
0,0.0,/home/ashvith/Desktop/GLM.jl/src/linpred.jl,161
0,0.0,/home/ashvith/Desktop/GLM.jl/src/linpred.jl,160
0,0.0,/home/ashvith/Desktop/GLM.jl/src/linpred.jl,156
0,0.0,/home/ashvith/Desktop/GLM.jl/src/linpred.jl,155
0,0.0,/home/ashvith/Desktop/GLM.jl/src/linpred.jl,154
0,0.0,/home/ashvith/Desktop/GLM.jl/src/linpred.jl,153
0,0.0,/home/ashvith/Desktop/GLM.jl/src/linpred.jl,152
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmtools.jl,276
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmtools.jl,274
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmtools.jl,272
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmtools.jl,271
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmtools.jl,270
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmtools.jl,269
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmtools.jl,268
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,644
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,642
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,641
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,636
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,633
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,632
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,629
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,628
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,625
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,620
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,619
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,615
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,614
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,612
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,611
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,610
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,510
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,348
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,347
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,346
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,345
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,343
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,339
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,338
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,335
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,334
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,332
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,330
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,329
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,327
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,326
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,325
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,318
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,316
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,315
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,314
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,313
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,307
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,305
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,297
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,296
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,295
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,288
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,287
0,0.0,/home/ashvith/Desktop/GLM.jl/src/glmfit.jl,284
